CellName,PageInstance,AdjustmentValue,Comment,RowKey
LELMR010,1,5,,
LELMR020,1,,,
LELMR030,1,123,,
LEE1C030,1,,,1
LEE1C040,1,CO,,1
LEE1C050,1,CG,,1
LEE1C050XBRL,1,x1,,1
LEE1C060,1,D,,1
LEE1C070,1,I,,1
LEE1C070XBRL,1,x27,,1
LEE1C010,1,56ER,,1
LEE1C020,1,4/5/2016,,1
LEINDEX1,1,1,,1
LEE1C030,1,1RR,,2
LEE1C040,1,BG,,2
LEE1C050,1,CG,,2
LEE1C050XBRL,1,x1,,2
LEE1C060,1,D,,2
LEE1C070,1,U,,2
LEE1C070XBRL,1,x28,,2
LEE1C010,1,7QW,,2
LEE1C020,1,2/4/2015,,2
LEINDEX1,1,2,,2
LEE1C030,1,34E,,3
LEE1C040,1,BE,,3
LEE1C050,1,,,3
LEE1C050XBRL,1,,,3
LEE1C060,1,C,,3
LEE1C070,1,I,,3
LEE1C070XBRL,1,x27,,3
LEE1C010,1,ER2,,3
LEE1C020,1,8/2/2018,,3
LEINDEX1,1,3,,3
LEE1C030,1,34RF,,4
LEE1C040,1,BE,,4
LEE1C050,1,HH,,4
LEE1C050XBRL,1,x5,,4
LEE1C060,1,E,,4
LEE1C070,1,U,,4
LEE1C070XBRL,1,x28,,4
LEE1C010,1,TE23,,4
LEE1C020,1,3/12/2016,,4
LEINDEX1,1,4,,4
LEE2C010,1,,,1
LEE2C020,1,1,,1
LEE2C020XBRL,1,x1,,1
LEE2C030,1,NO,,1
LEE2C030XBRL,1,FALSE,,1
LEE2C050,1,45,,1
LEE2C060,1,67,,1
LEE2C070,1,2000,,1
LEE2C080,1,787,,1
LEE2C090,1,56,,1
LEE2C070,1,0,,1
LEE2C100,1,0,,1
LEE2C110,1,57,,1
LEE2C130,1,568,,1
LEE2C140,1,34,,1
LEE2C160,1,454,,1
LEE2C170,1,54,,1
LEE2C180,1,565,,1
LEE2C190,1,2332,,1
LEE2C200,1,545,,1
LEE2C220,1,456,,1
LEE2C240,1,346,,1
LEE2C250,1,3546,,1
LEINDEX2,1,1,,1
LEE2C010,1,23,,2
LEE2C020,1,2,,2
LEE2C020XBRL,1,x2,,2
LEE2C030,1,YES,,2
LEE2C030XBRL,1,TRUE,,2
LEE2C050,1,566,,2
LEE2C060,1,45,,2
LEE2C080,1,87,,2
LEE2C090,1,56,,2
LEE2C110,1,456,,2
LEE2C130,1,478,,2
LEE2C140,1,568,,2
LEE2C160,1,65,,2
LEE2C170,1,24,,2
LEE2C180,1,65,,2
LEE2C190,1,565,,2
LEE2C200,1,454,,2
LEE2C220,1,45,,2
LEE2C240,1,346,,2
LEE2C250,1,35,,2
LEINDEX2,1,2,,2
LEE2C010,1,45,,3
LEE2C020,1,1,,3
LEE2C020XBRL,1,x1,,3
LEE2C030,1,NO,,3
LEE2C030XBRL,1,FALSE,,3
LEE2C050,1,45,,3
LEE2C060,1,34,,3
LEE2C080,1,78,,3
LEE2C090,1,667,,3
LEE2C110,1,65,,3
LEE2C130,1,578,,3
LEE2C140,1,578,,3
LEE2C160,1,6576,,3
LEE2C170,1,6767,,3
LEE2C180,1,899,,3
LEE2C190,1,767,,3
LEE2C200,1,78,,3
LEE2C220,1,567,,3
LEE2C240,1,34,,3
LEE2C250,1,343,,3
LEINDEX2,1,3,,3
LEINDEX3,1,1,,1
LEE3C010,1,12R,,1
LEE3C020,1,1/2/2015,,1
LEE3C030,1,YES,,1
LEE3C030XBRL,1,TRUE,,1
LEE3C040,1,b,,1
LEE3C040XBRL,1,x15,,1
LEE3C060,1,300,,1
LEE3C070,1,45,,1
LEE3C100,1,464,,1
LEE3C140,1,456,,1
LEINDEX3,1,2,,2
LEE3C010,1,56RT,,2
LEE3C030,1,NO,,2
LEE3C030XBRL,1,FALSE,,2
LEE3C040,1,b,,2
LEE3C040XBRL,1,x15,,2
LEE3C070,1,456,,2
LEE3C100,1,451,,2
LEE3C140,1,67,,2
LEINDEX3,1,3,,3
LEE3C010,1,RT45,,3
LEE3C030,1,NO,,3
LEE3C030XBRL,1,FALSE,,3
LEE3C040,1,a,,3
LEE3C040XBRL,1,x14,,3
LEE3C070,1,456,,3
LEE3C100,1,456,,3
LEE3C140,1,45,,3
LEINDEX4,1,1,,1
LEE4C010,1,,,1
LEINDEX4,1,2,,2
LEE4C010,1,,,2
LEE5C010,1,,,1
LEE5C020,1,,,1
LEINDEX5,1,1,,1
LEE5C010,1,,,2
LEE5C020,1,,,2
LEINDEX5,1,2,,2
